,t3,t4,jsdiv,type
0,0.1,200,0.8834433507967482,S1 no Myopic
0,0.1,200,0.984263865923009,S1 Myopic
0,0.1,200,0.24097661401023848,SOFAI w/ Myopic S1
0,0.1,200,0.032560675058131774,SOFAI w/ no Myopic S1
0,0.3,200,0.8834433507967482,S1 no Myopic
0,0.3,200,0.984263865923009,S1 Myopic
0,0.3,200,0.19499589337500492,SOFAI w/ Myopic S1
0,0.3,200,0.0541718652210377,SOFAI w/ no Myopic S1
0,0.6,200,0.8834433507967482,S1 no Myopic
0,0.6,200,0.984263865923009,S1 Myopic
0,0.6,200,0.2324988685442321,SOFAI w/ Myopic S1
0,0.6,200,0.03822605855161262,SOFAI w/ no Myopic S1
0,0.9,200,0.8834433507967482,S1 no Myopic
0,0.9,200,0.984263865923009,S1 Myopic
0,0.9,200,0.02794180222301281,SOFAI w/ Myopic S1
0,0.9,200,0.030648474287809056,SOFAI w/ no Myopic S1
0,0.1,200,0.9428686020939389,S1 no Myopic
0,0.1,200,0.9610467986783422,S1 Myopic
0,0.1,200,0.10108652571459195,SOFAI w/ Myopic S1
0,0.1,200,0.8811917234419065,SOFAI w/ no Myopic S1
0,0.3,200,0.9428686020939389,S1 no Myopic
0,0.3,200,0.9610467986783422,S1 Myopic
0,0.3,200,0.237392302334538,SOFAI w/ Myopic S1
0,0.3,200,0.6050317517680439,SOFAI w/ no Myopic S1
0,0.6,200,0.9428686020939389,S1 no Myopic
0,0.6,200,0.9610467986783422,S1 Myopic
0,0.6,200,0.24125496680209535,SOFAI w/ Myopic S1
0,0.6,200,0.2947187930380266,SOFAI w/ no Myopic S1
0,0.9,200,0.9428686020939389,S1 no Myopic
0,0.9,200,0.9610467986783422,S1 Myopic
0,0.9,200,0.23017630304764525,SOFAI w/ Myopic S1
0,0.9,200,0.1878013123580412,SOFAI w/ no Myopic S1
0,0.1,200,0.861001896955748,S1 no Myopic
0,0.1,200,0.8779118085135083,S1 Myopic
0,0.1,200,0.15447388840062584,SOFAI w/ Myopic S1
0,0.1,200,0.263291564527534,SOFAI w/ no Myopic S1
0,0.3,200,0.861001896955748,S1 no Myopic
0,0.3,200,0.8779118085135083,S1 Myopic
0,0.3,200,0.1325491150648197,SOFAI w/ Myopic S1
0,0.3,200,0.04503573941771179,SOFAI w/ no Myopic S1
0,0.6,200,0.861001896955748,S1 no Myopic
0,0.6,200,0.8779118085135083,S1 Myopic
0,0.6,200,0.04105718045380699,SOFAI w/ Myopic S1
0,0.6,200,0.1528869371006906,SOFAI w/ no Myopic S1
0,0.9,200,0.861001896955748,S1 no Myopic
0,0.9,200,0.8779118085135083,S1 Myopic
0,0.9,200,0.03831233942788206,SOFAI w/ Myopic S1
0,0.9,200,0.07228261089728022,SOFAI w/ no Myopic S1
0,0.1,200,0.8692170423944788,S1 no Myopic
0,0.1,200,0.778614365008671,S1 Myopic
0,0.1,200,0.06798729739309825,SOFAI w/ Myopic S1
