"Road 1: (35, 1)","Road 2: (1, 27)","Road 3: (19, 40)","Road 4: (1, 11)","Road 5: (41, 0)","Road 6: (0, 14)","Road 7: (1, 0)","Road 8: (0, 3)"
"Road 1: (37, 9)","Road 3: (18, 48)","Road 4: (2, 12)","Road 5: (28, 0)","Road 7: (2, 0)"
"Road 2: (6, 4)","Road 3: (42, 56)","Road 4: (0, 0)","Road 6: (47, 35)","Road 8: (0, 0)"
"Road 1: (0, 2)","Road 2: (2, 0)","Road 3: (64, 85)","Road 4: (0, 0)","Road 5: (2, 0)","Road 6: (29, 11)","Road 7: (0, 0)","Road 8: (0, 0)"
"Road 1: (1, 4)","Road 2: (1, 0)","Road 3: (79, 95)","Road 4: (0, 0)","Road 5: (8, 0)","Road 6: (8, 0)","Road 7: (0, 0)","Road 8: (0, 0)"
"Road 1: (2, 0)","Road 2: (0, 5)","Road 3: (64, 0)","Road 4: (0, 0)","Road 5: (29, 0)","Road 6: (2, 94)","Road 7: (0, 0)","Road 8: (0, 0)"
"Road 1: (6, 0)","Road 2: (0, 0)","Road 3: (40, 99)","Road 4: (0, 0)","Road 5: (51, 0)","Road 6: (0, 0)","Road 7: (0, 0)","Road 8: (0, 0)"
"Road 1: (15, 33)","Road 2: (0, 0)","Road 3: (15, 64)","Road 4: (0, 0)","Road 5: (67, 0)","Road 6: (0, 1)","Road 7: (0, 0)","Road 8: (0, 0)"
"Road 1: (36, 0)","Road 2: (0, 11)","Road 3: (12, 73)","Road 4: (0, 0)","Road 5: (48, 0)","Road 6: (0, 13)","Road 7: (0, 0)","Road 8: (0, 0)"
"Road 1: (46, 0)","Road 2: (0, 18)","Road 3: (12, 63)","Road 4: (1, 3)","Road 5: (36, 0)","Road 6: (0, 12)","Road 7: (2, 0)","Road 8: (0, 1)"
"Road 1: (45, 11)","Road 3: (13, 54)","Road 4: (2, 7)","Road 5: (26, 0)","Road 7: (2, 0)"
"Road 2: (7, 9)","Road 3: (9, 9)","Road 4: (0, 0)","Road 6: (80, 77)","Road 8: (0, 0)"
"Road 1: (0, 0)","Road 2: (2, 0)","Road 3: (53, 56)","Road 4: (0, 0)","Road 5: (0, 0)","Road 6: (43, 41)","Road 7: (0, 0)","Road 8: (0, 0)"
"Road 1: (0, 0)","Road 2: (0, 0)","Road 3: (87, 98)","Road 4: (0, 0)","Road 5: (5, 0)","Road 6: (5, 0)","Road 7: (0, 0)","Road 8: (0, 0)"
"Road 1: (2, 18)","Road 2: (0, 0)","Road 3: (53, 81)","Road 4: (0, 0)","Road 5: (43, 0)","Road 6: (0, 0)","Road 7: (0, 0)","Road 8: (0, 0)"
"Road 1: (8, 0)","Road 2: (0, 0)","Road 3: (8, 99)","Road 4: (0, 0)","Road 5: (83, 0)","Road 6: (0, 0)","Road 7: (0, 0)","Road 8: (0, 0)"
"Road 1: (40, 98)","Road 2: (0, 0)","Road 3: (6, 0)","Road 4: (0, 0)","Road 5: (51, 0)","Road 6: (0, 1)","Road 7: (0, 0)","Road 8: (0, 0)"
"Road 1: (52, 26)","Road 2: (0, 2)","Road 3: (6, 65)","Road 4: (0, 0)","Road 5: (37, 0)","Road 6: (0, 4)","Road 7: (1, 0)","Road 8: (0, 0)"
"Road 1: (57, 11)","Road 2: (0, 8)","Road 3: (7, 72)","Road 4: (1, 1)","Road 5: (29, 0)","Road 6: (0, 5)","Road 7: (3, 0)","Road 8: (0, 0)"
"Road 1: (52, 18)","Road 3: (9, 52)","Road 4: (2, 5)","Road 5: (21, 0)","Road 7: (4, 0)"
"Road 2: (52, 64)","Road 3: (2, 0)","Road 4: (0, 0)","Road 6: (42, 32)","Road 8: (0, 0)"
"Road 1: (0, 0)","Road 2: (2, 2)","Road 3: (2, 1)","Road 4: (0, 0)","Road 5: (0, 0)","Road 6: (95, 95)","Road 7: (0, 0)","Road 8: (0, 0)"
"Road 1: (0, 0)","Road 2: (0, 0)","Road 3: (99, 99)","Road 4: (0, 0)","Road 5: (0, 0)","Road 6: (0, 0)","Road 7: (0, 0)","Road 8: (0, 0)"
"Road 1: (2, 63)","Road 2: (0, 0)","Road 3: (2, 36)","Road 4: (0, 0)","Road 5: (95, 0)","Road 6: (0, 0)","Road 7: (0, 0)","Road 8: (0, 0)"
"Road 1: (53, 82)","Road 2: (0, 0)","Road 3: (2, 17)","Road 4: (0, 0)","Road 5: (43, 0)","Road 6: (0, 0)","Road 7: (0, 0)","Road 8: (0, 0)"
