,t3,t4,jsdiv,type
0,0.4,0,0.7007703316051748,S1
0,0.4,0,0.24544586784341946,01
0,0.4,0,0.6707556960618049,10
0,0.4,0,0.32214555276574197,02
0,0.4,0,0.9611800748081518,S1
0,0.4,0,0.5275994294760262,01
0,0.4,0,0.7191906267787287,10
0,0.4,0,0.3659350265846818,02
0,0.4,0,0.9433965844760035,S1
0,0.4,0,0.37880120037151704,01
0,0.4,0,0.9168276970930036,10
0,0.4,0,0.7218484981895668,02
0,0.4,0,0.9769788577531036,S1
0,0.4,0,0.5566600561461308,01
0,0.4,0,0.8627479978229433,10
0,0.4,0,0.6022082739624055,02
0,0.4,0,0.6164269907711308,S1
0,0.4,0,0.5038139688458037,01
0,0.4,0,0.4304873939528248,10
0,0.4,0,0.5905385581093017,02
0,0.4,0,0.9721637825166172,S1
0,0.4,0,0.42423313682251496,01
0,0.4,0,0.8728510561024282,10
0,0.4,0,0.5833671610478802,02
0,0.4,0,0.7639797461869148,S1
0,0.4,0,0.4277786622919272,01
0,0.4,0,0.3823650082966465,10
0,0.4,0,0.5853952035938382,02
0,0.4,0,0.8547119674456061,S1
0,0.4,0,0.6241160600610055,01
0,0.4,0,0.9084932606958145,10
0,0.4,0,0.6381818676847935,02
0,0.4,0,0.8470368718117904,S1
0,0.4,0,0.10164434251574894,01
0,0.4,0,0.7491842484176763,10
0,0.4,0,0.5120445329063865,02
0,0.4,0,0.767511498074538,S1
0,0.4,0,0.2226496308548959,01
0,0.4,0,0.7594099927800899,10
0,0.4,0,0.4061858635606955,02
