,traj_n,length,reward,time,sub_type,time_agent,avg_time,reward_agent,avg_reward,usage,type,Length,Reward,Viol,S1_Usage,t1,t2,t3,t4,t6,t7,viol_constr,perc_usage
13,13,18.0,-165.31370849898474,779.0,s2,779,43.27777777777778,-165.31370849898474,-9.184094916610263,18,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,2.0,1.0
14,14,20.0,-217.65685424949237,519.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
14,14,20.0,-217.65685424949237,519.0,s2,519,25.95,-217.65685424949237,-10.882842712474618,20,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,3.0,1.0
15,15,16.0,-107.31370849898477,473.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
15,15,16.0,-107.31370849898477,473.0,s2,473,29.5625,-107.31370849898477,-6.707106781186548,16,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,1.0,1.0
16,16,15.0,-101.65685424949238,408.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
16,16,15.0,-101.65685424949238,408.0,s2,408,27.2,-101.65685424949238,-6.777123616632825,15,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,1.0,1.0
17,17,18.0,-162.0,490.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
17,17,18.0,-162.0,490.0,s2,490,27.22222222222222,-162.0,-9.0,18,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,2.0,1.0
18,18,17.0,-105.65685424949238,466.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
18,18,17.0,-105.65685424949238,466.0,s2,466,27.41176470588235,-105.65685424949238,-6.215109073499552,17,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,1.0,1.0
19,19,14.0,-100.97056274847715,358.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
19,19,14.0,-100.97056274847715,358.0,s2,358,25.571428571428573,-100.97056274847715,-7.212183053462653,14,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,1.0,1.0
20,20,15.0,-104.97056274847715,404.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
20,20,15.0,-104.97056274847715,404.0,s2,404,26.933333333333334,-104.97056274847715,-6.998037516565144,15,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,1.0,1.0
21,21,13.0,-95.31370849898477,377.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
21,21,13.0,-95.31370849898477,377.0,s2,377,29.0,-95.31370849898477,-7.331823730691136,13,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,1.0,1.0
22,22,21.0,-180.6274169979695,558.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
22,22,21.0,-180.6274169979695,558.0,s2,558,26.571428571428573,-180.6274169979695,-8.601305571331881,21,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,2.0,1.0
23,23,17.0,-161.31370849898474,448.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
23,23,17.0,-161.31370849898474,448.0,s2,448,26.352941176470587,-161.31370849898474,-9.489041676410867,17,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,2.0,1.0
24,24,12.0,-89.65685424949238,362.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
24,24,12.0,-89.65685424949238,362.0,s2,362,30.166666666666668,-89.65685424949238,-7.471404520791032,12,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,1.0,1.0
25,25,15.0,-104.97056274847715,488.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
25,25,15.0,-104.97056274847715,488.0,s2,488,32.53333333333333,-104.97056274847715,-6.998037516565144,15,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,1.0,1.0
26,26,15.0,-101.65685424949238,633.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
26,26,15.0,-101.65685424949238,633.0,s2,633,42.2,-101.65685424949238,-6.777123616632825,15,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,1.0,1.0
27,27,13.0,-91.31370849898477,463.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
27,27,13.0,-91.31370849898477,463.0,s2,463,35.61538461538461,-91.31370849898477,-7.0241314229988285,13,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,1.0,1.0
28,28,14.0,-97.65685424949238,572.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
28,28,14.0,-97.65685424949238,572.0,s2,572,40.857142857142854,-97.65685424949238,-6.975489589249456,14,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,1.0,1.0
29,29,16.0,-107.31370849898477,859.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
29,29,16.0,-107.31370849898477,859.0,s2,859,53.6875,-107.31370849898477,-6.707106781186548,16,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,1.0,1.0
30,30,18.0,-163.65685424949237,1715.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
30,30,18.0,-163.65685424949237,1715.0,s2,1715,95.27777777777777,-163.65685424949237,-9.092047458305132,18,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,2.0,1.0
31,31,15.0,-103.31370849898477,1029.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
31,31,15.0,-103.31370849898477,1029.0,s2,1029,68.6,-103.31370849898477,-6.887580566598984,15,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,1.0,1.0
