,traj_n,length,reward,time,sub_type,time_agent,avg_time,reward_agent,avg_reward,usage,type,Length,Reward,Viol,S1_Usage,t1,t2,t3,t4,t6,t7,viol_constr,perc_usage
108,108,19.0,-125.94112549695429,244.0,s1,0,0.0,-90.2842712474619,-11.285533905932738,8,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,1.0,0.42105263157894735
108,108,19.0,-125.94112549695429,244.0,s2,244,22.181818181818183,-35.65685424949238,-3.2415322044993076,11,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,0.0,0.5789473684210527
109,109,15.0,-104.97056274847715,222.0,s1,0,0.0,-59.31370849898477,-14.828427124746192,4,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,1.0,0.26666666666666666
109,109,15.0,-104.97056274847715,222.0,s2,222,20.181818181818183,-45.65685424949238,-4.150623113590217,11,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,0.0,0.7333333333333333
110,110,18.0,-118.62741699796953,296.0,s1,0,0.0,-73.31370849898477,-14.662741699796953,5,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,1.0,0.2777777777777778
110,110,18.0,-118.62741699796953,296.0,s2,296,22.76923076923077,-45.31370849898477,-3.4856698845372898,13,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,0.0,0.7222222222222222
111,111,21.0,-133.94112549695424,310.0,s1,1,0.2,-73.31370849898477,-14.662741699796953,5,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,1.0,0.23809523809523808
111,111,21.0,-133.94112549695424,310.0,s2,309,19.3125,-60.62741699796952,-3.789213562373095,16,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,0.0,0.7619047619047619
112,112,16.0,-107.31370849898477,193.0,s1,1,0.16666666666666666,-75.65685424949238,-12.60947570824873,6,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,1.0,0.375
112,112,16.0,-107.31370849898477,193.0,s2,192,19.2,-31.65685424949238,-3.165685424949238,10,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,0.0,0.625
113,113,14.0,-99.31370849898477,175.0,s1,0,0.0,-73.31370849898477,-14.662741699796953,5,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,1.0,0.35714285714285715
113,113,14.0,-99.31370849898477,175.0,s2,175,19.444444444444443,-26.0,-2.888888888888889,9,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,0.0,0.6428571428571429
114,114,20.0,-169.31370849898474,336.0,s1,0,0.0,-12.0,-4.0,3,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,0.0,0.15
114,114,20.0,-169.31370849898474,336.0,s2,336,19.764705882352942,-157.31370849898474,-9.253747558763807,17,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,2.0,0.85
115,115,16.0,-108.97056274847714,266.0,s1,0,0.0,-58.0,-29.0,2,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,1.0,0.125
115,115,16.0,-108.97056274847714,266.0,s2,266,19.0,-50.97056274847715,-3.6407544820340823,14,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,0.0,0.875
116,116,18.0,-118.62741699796953,233.0,s1,0,0.0,-75.65685424949238,-12.60947570824873,6,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,1.0,0.3333333333333333
116,116,18.0,-118.62741699796953,233.0,s2,233,19.416666666666668,-42.97056274847715,-3.5808802290397623,12,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,0.0,0.6666666666666666
117,117,19.0,-124.28427124746192,252.0,s1,0,0.0,-77.31370849898477,-12.885618083164127,6,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,1.0,0.3157894736842105
117,117,19.0,-124.28427124746192,252.0,s2,252,19.384615384615383,-46.97056274847715,-3.613120211421319,13,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,0.0,0.6842105263157895
118,118,22.0,-131.31370849898477,291.0,s1,0,0.0,-79.65685424949238,-11.37955060707034,7,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,1.0,0.3181818181818182
118,118,22.0,-131.31370849898477,291.0,s2,291,19.4,-51.65685424949238,-3.443790283299492,15,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,0.0,0.6818181818181818
119,119,27.0,-207.25483399593904,306.0,s1,0,0.0,-134.97056274847716,-12.27005115895247,11,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,2.0,0.4074074074074074
119,119,27.0,-207.25483399593904,306.0,s2,306,19.125,-72.2842712474619,-4.517766952966369,16,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,0.0,0.5925925925925926
120,120,22.0,-136.28427124746187,347.0,s1,0,0.0,-67.65685424949238,-16.914213562373096,4,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,1.0,0.18181818181818182
120,120,22.0,-136.28427124746187,347.0,s2,347,19.27777777777778,-68.62741699796952,-3.8126342776649733,18,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,0.0,0.8181818181818182
121,121,18.0,-118.62741699796952,249.0,s1,0,0.0,-71.65685424949238,-14.331370849898477,5,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,1.0,0.2777777777777778
121,121,18.0,-118.62741699796952,249.0,s2,249,19.153846153846153,-46.97056274847714,-3.6131202114213186,13,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,0.0,0.7222222222222222
122,122,18.0,-118.62741699796953,267.0,s1,0,0.0,-70.97056274847715,-17.742640687119287,4,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,1.0,0.2222222222222222
122,122,18.0,-118.62741699796953,267.0,s2,267,19.071428571428573,-47.65685424949238,-3.4040610178208843,14,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,0.0,0.7777777777777778
123,123,14.0,-99.31370849898477,193.0,s1,0,0.0,-66.0,-16.5,4,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,1.0,0.2857142857142857
123,123,14.0,-99.31370849898477,193.0,s2,193,19.3,-33.31370849898477,-3.3313708498984766,10,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,0.0,0.7142857142857143
124,124,13.0,-239.65685424949237,223.0,s1,0,0.0,-108.0,-54.0,2,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,2.0,0.15384615384615385
124,124,13.0,-239.65685424949237,223.0,s2,223,20.272727272727273,-131.65685424949237,-11.968804931772034,11,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,2.0,0.8461538461538461
125,125,23.0,-184.62741699796953,324.0,s1,0,0.0,-125.65685424949238,-17.950979178498912,7,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,2.0,0.30434782608695654
125,125,23.0,-184.62741699796953,324.0,s2,324,20.25,-58.970562748477136,-3.685660171779821,16,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,0.0,0.6956521739130435
126,126,15.0,-103.31370849898477,173.0,s1,0,0.0,-65.65685424949238,-10.942809041582064,6,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,1.0,0.4
126,126,15.0,-103.31370849898477,173.0,s2,173,19.22222222222222,-37.65685424949238,-4.184094916610265,9,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,0.0,0.6
127,127,13.0,-93.65685424949238,281.0,s1,0,0.0,-54.0,-54.0,1,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,1.0,0.07692307692307693
127,127,13.0,-93.65685424949238,281.0,s2,281,23.416666666666668,-39.65685424949238,-3.3047378541243653,12,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,0.0,0.9230769230769231
128,128,15.0,-104.97056274847715,246.0,s1,0,0.0,-63.65685424949238,-21.21895141649746,3,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,1.0,0.2
128,128,15.0,-104.97056274847715,246.0,s2,246,20.5,-41.31370849898477,-3.442809041582064,12,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,0.0,0.8
129,129,21.0,-178.2842712474619,306.0,s1,0,0.0,-72.62741699796952,-14.525483399593904,5,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,1.0,0.23809523809523808
129,129,21.0,-178.2842712474619,306.0,s2,306,19.125,-105.65685424949238,-6.603553390593274,16,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,1.0,0.7619047619047619
130,130,17.0,-112.97056274847715,262.0,s1,0,0.0,-67.65685424949238,-16.914213562373096,4,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,1.0,0.23529411764705882
130,130,17.0,-112.97056274847715,262.0,s2,262,20.153846153846153,-45.31370849898477,-3.4856698845372898,13,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,0.0,0.7647058823529411
131,131,13.0,-91.31370849898477,159.0,s1,0,0.0,-70.0,-11.666666666666666,6,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,1.0,0.46153846153846156
131,131,13.0,-91.31370849898477,159.0,s2,159,22.714285714285715,-21.31370849898476,-3.0448154998549657,7,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,0.0,0.5384615384615384
132,132,18.0,-118.62741699796953,212.0,s1,0,0.0,-78.0,-11.142857142857142,7,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,1.0,0.3888888888888889
132,132,18.0,-118.62741699796953,212.0,s2,212,19.272727272727273,-40.62741699796953,-3.6934015452699573,11,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,0.0,0.6111111111111112
133,133,15.0,-99.31370849898477,197.0,s1,0,0.0,-66.0,-13.2,5,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,1.0,0.3333333333333333
133,133,15.0,-99.31370849898477,197.0,s2,197,19.7,-33.31370849898477,-3.3313708498984766,10,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,0.0,0.6666666666666666
134,134,13.0,-93.65685424949238,229.0,s1,0,0.0,-54.0,-54.0,1,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,1.0,0.07692307692307693
134,134,13.0,-93.65685424949238,229.0,s2,229,19.083333333333332,-39.65685424949238,-3.3047378541243653,12,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,0.0,0.9230769230769231
135,135,19.0,-170.9705627484771,288.0,s1,0,0.0,-67.65685424949238,-16.914213562373096,4,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,1.0,0.21052631578947367
135,135,19.0,-170.9705627484771,288.0,s2,288,19.2,-103.31370849898477,-6.887580566598984,15,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,1.0,0.7894736842105263
136,136,17.0,-154.97056274847714,230.0,s1,0,0.0,-105.31370849898477,-21.062741699796952,5,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,2.0,0.29411764705882354
136,136,17.0,-154.97056274847714,230.0,s2,230,19.166666666666668,-49.65685424949238,-4.138071187457698,12,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,0.0,0.7058823529411765
137,137,20.0,-119.31370849898477,294.0,s1,1,0.2,-66.0,-13.2,5,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,1.0,0.25
137,137,20.0,-119.31370849898477,294.0,s2,293,19.533333333333335,-53.31370849898477,-3.554247233265651,15,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,0.0,0.75
138,138,24.0,-142.62741699796953,326.0,s1,1,0.14285714285714285,-81.31370849898477,-11.616244071283537,7,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,1.0,0.2916666666666667
138,138,24.0,-142.62741699796953,326.0,s2,325,19.11764705882353,-61.31370849898477,-3.606688735234398,17,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,0.0,0.7083333333333334
139,139,16.0,-110.62741699796953,228.0,s1,0,0.0,-67.65685424949238,-16.914213562373096,4,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,1.0,0.25
139,139,16.0,-110.62741699796953,228.0,s2,228,19.0,-42.97056274847715,-3.5808802290397623,12,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,0.0,0.75
140,140,20.0,-170.9705627484771,291.0,s1,0,0.0,-13.31370849898476,-2.662741699796952,5,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,0.0,0.25
140,140,20.0,-170.9705627484771,291.0,s2,291,19.4,-157.65685424949237,-10.510456949966159,15,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,2.0,0.75
141,141,16.0,-108.97056274847714,231.0,s1,0,0.0,-69.31370849898477,-17.32842712474619,4,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,1.0,0.25
141,141,16.0,-108.97056274847714,231.0,s2,231,19.25,-39.65685424949238,-3.3047378541243653,12,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,0.0,0.75
142,142,14.0,-96.97056274847715,213.0,s1,0,0.0,-59.65685424949238,-19.88561808316413,3,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,1.0,0.21428571428571427
142,142,14.0,-96.97056274847715,213.0,s2,213,19.363636363636363,-37.31370849898477,-3.3921553180895243,11,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,0.0,0.7857142857142857
143,143,20.0,-120.97056274847715,298.0,s1,0,0.0,-70.0,-11.666666666666666,6,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,1.0,0.3
143,143,20.0,-120.97056274847715,298.0,s2,298,21.285714285714285,-50.97056274847715,-3.6407544820340823,14,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,0.0,0.7
144,144,19.0,-121.94112549695429,281.0,s1,1,0.125,-84.62741699796953,-10.578427124746192,8,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,1.0,0.42105263157894735
144,144,19.0,-121.94112549695429,281.0,s2,280,25.454545454545453,-37.31370849898477,-3.3921553180895243,11,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,0.0,0.5789473684210527
145,145,23.0,-136.97056274847714,324.0,s1,0,0.0,-81.31370849898477,-11.616244071283537,7,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,1.0,0.30434782608695654
145,145,23.0,-136.97056274847714,324.0,s2,324,20.25,-55.65685424949238,-3.478553390593274,16,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,0.0,0.6956521739130435
146,146,13.0,-91.31370849898477,213.0,s1,0,0.0,-55.65685424949238,-27.82842712474619,2,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,1.0,0.15384615384615385
146,146,13.0,-91.31370849898477,213.0,s2,213,19.363636363636363,-35.65685424949238,-3.2415322044993076,11,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,0.0,0.8461538461538461
147,147,16.0,-108.97056274847714,298.0,s1,0,0.0,-59.65685424949238,-29.82842712474619,2,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,1.0,0.125
147,147,16.0,-108.97056274847714,298.0,s2,298,21.285714285714285,-49.31370849898477,-3.5224077499274835,14,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,0.0,0.875
148,148,16.0,-162.2842712474619,282.0,s1,0,0.0,-113.65685424949238,-37.885618083164125,3,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,2.0,0.1875
148,148,16.0,-162.2842712474619,282.0,s2,282,21.692307692307693,-48.62741699796952,-3.740570538305348,13,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,0.0,0.8125
149,149,13.0,-142.0,229.0,s1,0,0.0,-52.0,-17.333333333333332,3,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,1.0,0.23076923076923078
149,149,13.0,-142.0,229.0,s2,229,22.9,-90.0,-9.0,10,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,1.0,0.7692307692307693
150,150,19.0,-165.31370849898474,337.0,s1,1,0.2,-117.65685424949238,-23.531370849898476,5,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,2.0,0.2631578947368421
150,150,19.0,-165.31370849898474,337.0,s2,336,24.0,-47.65685424949238,-3.4040610178208843,14,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,0.0,0.7368421052631579
151,151,13.0,-93.65685424949238,237.0,s1,0,0.0,-58.0,-29.0,2,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,1.0,0.15384615384615385
151,151,13.0,-93.65685424949238,237.0,s2,237,21.545454545454547,-35.65685424949238,-3.2415322044993076,11,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,0.0,0.8461538461538461
152,152,14.0,-99.31370849898477,246.0,s1,0,0.0,-54.0,-54.0,1,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,1.0,0.07142857142857142
152,152,14.0,-99.31370849898477,246.0,s2,246,18.923076923076923,-45.31370849898477,-3.4856698845372898,13,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,0.0,0.9285714285714286
153,153,20.0,-173.31370849898477,314.0,s1,0,0.0,-63.31370849898477,-12.662741699796953,5,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,1.0,0.25
153,153,20.0,-173.31370849898477,314.0,s2,314,20.933333333333334,-110.0,-7.333333333333333,15,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,1.0,0.75
154,154,14.0,-99.31370849898477,210.0,s1,1,0.3333333333333333,-62.0,-20.666666666666668,3,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,1.0,0.21428571428571427
154,154,14.0,-99.31370849898477,210.0,s2,209,19.0,-37.31370849898477,-3.3921553180895243,11,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,0.0,0.7857142857142857
155,155,15.0,-104.97056274847715,218.0,s1,0,0.0,-67.65685424949238,-16.914213562373096,4,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,1.0,0.26666666666666666
155,155,15.0,-104.97056274847715,218.0,s2,218,19.818181818181817,-37.31370849898477,-3.3921553180895243,11,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,0.0,0.7333333333333333
156,156,19.0,-166.97056274847714,218.0,s1,0,0.0,-125.31370849898475,-13.923745388776084,9,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,2.0,0.47368421052631576
156,156,19.0,-166.97056274847714,218.0,s2,218,21.8,-41.65685424949238,-4.165685424949238,10,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,0.0,0.5263157894736842
157,157,13.0,-93.65685424949238,172.0,s1,0,0.0,-66.0,-16.5,4,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,1.0,0.3076923076923077
157,157,13.0,-93.65685424949238,172.0,s2,172,19.11111111111111,-27.65685424949238,-3.0729838054991534,9,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,0.0,0.6923076923076923
158,158,17.0,-160.6274169979695,288.0,s1,0,0.0,-8.0,-4.0,2,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,0.0,0.11764705882352941
158,158,17.0,-160.6274169979695,288.0,s2,288,19.2,-152.6274169979695,-10.175161133197967,15,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,2.0,0.8823529411764706
159,159,18.0,-162.9705627484771,305.0,s1,0,0.0,-13.65685424949238,-4.552284749830793,3,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,0.0,0.16666666666666666
159,159,18.0,-162.9705627484771,305.0,s2,305,20.333333333333332,-149.31370849898477,-9.95424723326565,15,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,2.0,0.8333333333333334
160,160,13.0,-92.0,245.0,s1,0,0.0,-54.0,-54.0,1,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,1.0,0.07692307692307693
160,160,13.0,-92.0,245.0,s2,245,20.416666666666668,-38.0,-3.1666666666666665,12,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,0.0,0.9230769230769231
161,161,17.0,-111.31370849898477,230.0,s1,1,0.16666666666666666,-67.31370849898477,-11.218951416497461,6,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,1.0,0.35294117647058826
161,161,17.0,-111.31370849898477,230.0,s2,229,20.818181818181817,-44.0,-4.0,11,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,0.0,0.6470588235294118
162,162,17.0,-110.62741699796952,244.0,s1,0,0.0,-70.97056274847715,-14.19411254969543,5,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,1.0,0.29411764705882354
162,162,17.0,-110.62741699796952,244.0,s2,244,20.333333333333332,-39.65685424949238,-3.3047378541243653,12,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,0.0,0.7058823529411765
163,163,35.0,-334.2842712474619,529.0,s1,0,0.0,-135.31370849898477,-16.914213562373096,8,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,2.0,0.22857142857142856
163,163,35.0,-334.2842712474619,529.0,s2,529,19.59259259259259,-198.97056274847716,-7.36928010179545,27,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,2.0,0.7714285714285715
164,164,21.0,-133.94112549695427,295.0,s1,0,0.0,-82.97056274847714,-11.852937535496734,7,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,1.0,0.3333333333333333
164,164,21.0,-133.94112549695427,295.0,s2,295,21.071428571428573,-50.97056274847714,-3.640754482034082,14,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,0.0,0.6666666666666666
165,165,17.0,-112.97056274847715,304.0,s1,0,0.0,-58.0,-29.0,2,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,1.0,0.11764705882352941
165,165,17.0,-112.97056274847715,304.0,s2,304,20.266666666666666,-54.97056274847715,-3.66470418323181,15,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,0.0,0.8823529411764706
166,166,22.0,-134.62741699796953,346.0,s1,0,0.0,-73.31370849898477,-14.662741699796953,5,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,1.0,0.22727272727272727
166,166,22.0,-134.62741699796953,346.0,s2,346,20.352941176470587,-61.31370849898477,-3.606688735234398,17,SOFAI w/ S1 ra=0.0,17.922,-134.23648367144003,0.691,0,200,0.8,0.1,0,1,0.5,0.0,0.7727272727272727
