,t3,t4,jsdiv,type
0,0.6,200,0.744498962489215,S1
0,0.6,200,0.23550916254434,01
0,0.6,200,0.7131756473749307,10
0,0.6,200,0.4895052181730066,02
0,0.6,200,0.9127992883809479,S1
0,0.6,200,0.08403482057253535,01
0,0.6,200,0.6909958529768877,10
0,0.6,200,0.206699515478398,02
0,0.6,200,0.9280744249325915,S1
0,0.6,200,0.02010627403451202,01
0,0.6,200,0.04427569161228517,10
0,0.6,200,0.018067059165327623,02
0,0.6,200,0.9060707790509721,S1
0,0.6,200,0.1744782268549373,01
0,0.6,200,0.7268874942141015,10
0,0.6,200,0.5095764110281659,02
0,0.6,200,0.9269714069844626,S1
0,0.6,200,0.24584762175729835,01
0,0.6,200,0.6146999947738162,10
0,0.6,200,0.5999754120810465,02
0,0.6,200,0.8220634846945423,S1
0,0.6,200,0.12633546124934472,01
0,0.6,200,0.8745006586162176,10
0,0.6,200,0.6782627351718741,02
0,0.6,200,0.911676740937367,S1
0,0.6,200,0.03323912753012133,01
0,0.6,200,0.9170640310469111,10
0,0.6,200,0.23333653399684903,02
0,0.6,200,0.9220861212371538,S1
0,0.6,200,0.01804279132641837,01
0,0.6,200,0.9110748562406052,10
0,0.6,200,0.04180184293986961,02
0,0.6,200,0.8653269046774962,S1
0,0.6,200,0.07814303480251476,01
0,0.6,200,0.5601104884443078,10
0,0.6,200,0.5609269247222389,02
0,0.6,200,0.8950183290114799,S1
0,0.6,200,0.1324022802671721,01
0,0.6,200,0.9050078920858369,10
0,0.6,200,0.866828263004792,02
