,traj_n,length,reward,time,sub_type,time_agent,avg_time,reward_agent,avg_reward,usage,type,Length,Reward,Viol,S1_Usage,t1,t2,t3,t4,t6,t7,perc_usage
12,12,201.0,-1685.8317446550755,56.0,s2,0,,0.0,,0,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,0.0
13,13,190.0,-2397.096679918781,57.0,s1,57,0.3,-2397.096679918781,-12.616298315362005,190,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,1.0
13,13,190.0,-2397.096679918781,57.0,s2,0,,0.0,,0,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,0.0
14,14,52.0,-1616.1665222413706,8.0,s1,8,0.15384615384615385,-1616.1665222413706,-31.080125427718663,52,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,1.0
14,14,52.0,-1616.1665222413706,8.0,s2,0,,0.0,,0,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,0.0
15,15,151.0,-2681.165655689593,31.0,s1,31,0.2052980132450331,-2681.165655689593,-17.756063944964193,151,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,1.0
15,15,151.0,-2681.165655689593,31.0,s2,0,,0.0,,0,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,0.0
16,16,201.0,-1857.5474734076133,63.0,s1,63,0.31343283582089554,-1857.5474734076133,-9.241529718445838,201,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,1.0
16,16,201.0,-1857.5474734076133,63.0,s2,0,,0.0,,0,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,0.0
17,17,201.0,-1496.459161653045,78.0,s1,78,0.3880597014925373,-1496.459161653045,-7.445070455985298,201,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,1.0
17,17,201.0,-1496.459161653045,78.0,s2,0,,0.0,,0,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,0.0
18,18,196.0,-3570.1261171703036,59.0,s1,59,0.3010204081632653,-3570.1261171703036,-18.214929169236243,196,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,1.0
18,18,196.0,-3570.1261171703036,59.0,s2,0,,0.0,,0,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,0.0
19,19,160.0,-2581.3910524340095,65.0,s1,65,0.40625,-2581.3910524340095,-16.13369407771256,160,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,1.0
19,19,160.0,-2581.3910524340095,65.0,s2,0,,0.0,,0,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,0.0
20,20,108.0,-1529.4600282048218,29.0,s1,29,0.26851851851851855,-1529.4600282048218,-14.161666927822424,108,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,1.0
20,20,108.0,-1529.4600282048218,29.0,s2,0,,0.0,,0,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,0.0
21,21,201.0,-1822.8611819065982,62.0,s1,62,0.30845771144278605,-1822.8611819065982,-9.068961104012926,201,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,1.0
21,21,201.0,-1822.8611819065982,62.0,s2,0,,0.0,,0,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,0.0
22,22,139.0,-2144.1950929411164,35.0,s1,35,0.2517985611510791,-2144.1950929411164,-15.425863977993643,139,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,1.0
22,22,139.0,-2144.1950929411164,35.0,s2,0,,0.0,,0,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,0.0
23,23,136.0,-2011.9108216936543,36.0,s1,36,0.2647058823529412,-2011.9108216936543,-14.793461924218047,136,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,1.0
23,23,136.0,-2011.9108216936543,36.0,s2,0,,0.0,,0,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,0.0
