,t3,t4,jsdiv,type
0,0.9,0,0.9549458717171031,S1 no Myopic
0,0.9,0,0.7779013788230127,S1 Myopic
0,0.9,0,0.02350911980840162,SOFAI w/ Myopic S1
0,0.9,0,0.02659322254281663,SOFAI w/ no Myopic S1
0,0.9,0,0.9534284638432104,S1 no Myopic
0,0.9,0,0.8162306008192948,S1 Myopic
0,0.9,0,0.025546664139740778,SOFAI w/ Myopic S1
0,0.9,0,0.0551474085527691,SOFAI w/ no Myopic S1
0,0.9,0,0.8011251540292337,S1 no Myopic
0,0.9,0,0.8402081307810461,S1 Myopic
0,0.9,0,0.023595440963096875,SOFAI w/ Myopic S1
0,0.9,0,0.06608960446886739,SOFAI w/ no Myopic S1
0,0.9,0,0.9042977145870698,S1 no Myopic
0,0.9,0,0.906153822508798,S1 Myopic
0,0.9,0,0.024154392614899337,SOFAI w/ Myopic S1
0,0.9,0,0.054515860902420776,SOFAI w/ no Myopic S1
0,0.9,0,0.9249164105368853,S1 no Myopic
0,0.9,0,0.758452546639865,S1 Myopic
0,0.9,0,0.023350392007811235,SOFAI w/ Myopic S1
0,0.9,0,0.02810183555818365,SOFAI w/ no Myopic S1
0,0.9,0,0.9887812759630866,S1 no Myopic
0,0.9,0,0.889490306445469,S1 Myopic
0,0.9,0,0.02012047005316662,SOFAI w/ Myopic S1
0,0.9,0,0.03186089080411643,SOFAI w/ no Myopic S1
0,0.9,0,0.9562766757637524,S1 no Myopic
0,0.9,0,0.8253716357667612,S1 Myopic
0,0.9,0,0.024987579666902966,SOFAI w/ Myopic S1
0,0.9,0,0.024666378125675226,SOFAI w/ no Myopic S1
0,0.9,0,0.9131525979268693,S1 no Myopic
0,0.9,0,0.8340487417489866,S1 Myopic
0,0.9,0,0.02517289669296529,SOFAI w/ Myopic S1
0,0.9,0,0.021667964360182118,SOFAI w/ no Myopic S1
0,0.9,0,0.8329094718179504,S1 no Myopic
0,0.9,0,0.9173110881989983,S1 Myopic
0,0.9,0,0.021152256585971592,SOFAI w/ Myopic S1
0,0.9,0,0.032918579576993214,SOFAI w/ no Myopic S1
0,0.9,0,0.9551091738622279,S1 no Myopic
0,0.9,0,0.8301376756646869,S1 Myopic
0,0.9,0,0.02450998927280394,SOFAI w/ Myopic S1
0,0.9,0,0.02377181241742393,SOFAI w/ no Myopic S1
