,traj_n,length,reward,time,sub_type,time_agent,avg_time,reward_agent,avg_reward,usage,type,Length,Reward,Viol,S1_Usage,t1,t2,t3,t4,t6,t7,perc_usage
16,16,78.0,-355.31370849898474,90,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
17,17,23.0,-83.65685424949238,50,s1,50,2.1739130434782608,-83.65685424949238,-3.6372545325866255,23,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
17,17,23.0,-83.65685424949238,50,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
18,18,25.0,-191.65685424949237,25,s1,25,1.0,-191.65685424949237,-7.666274169979695,25,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
18,18,25.0,-191.65685424949237,25,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
19,19,171.0,-730.6274169979695,187,s1,187,1.0935672514619883,-730.6274169979695,-4.2726749532045,171,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
19,19,171.0,-730.6274169979695,187,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
20,20,38.0,-245.31370849898474,38,s1,38,1.0,-245.31370849898474,-6.455623907868019,38,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
20,20,38.0,-245.31370849898474,38,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
21,21,155.0,-671.5979797464468,165,s1,165,1.064516129032258,-671.5979797464468,-4.3328901919125595,155,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
21,21,155.0,-671.5979797464468,165,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
22,22,139.0,-795.3137084989847,146,s1,146,1.0503597122302157,-795.3137084989847,-5.721681356107804,139,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
22,22,139.0,-795.3137084989847,146,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
23,23,201.0,-808.970562748477,248,s1,248,1.2338308457711442,-808.970562748477,-4.024729167902871,201,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
23,23,201.0,-808.970562748477,248,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
24,24,60.0,-391.59797974644664,53,s1,53,0.8833333333333333,-391.59797974644664,-6.5266329957741105,60,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
24,24,60.0,-391.59797974644664,53,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
